timestamp,rh_hourly_avg_corrected,temp_hourly_avg_corrected,TSA_def,RH2M_def,TSA_lcz,RH2M_lcz,sensor
0,85.21414690319457,10.246408797308826,9.199858742198725,82.19502071219843,9.010349492917115,82.21227643681668,MOD-PM-00097
1,86.28002894714065,9.86933224397072,8.940408465506016,83.6198730907221,8.79443061214754,83.24033468253768,MOD-PM-00097
2,87.2142346701831,9.756561320348872,8.72197907546471,84.77662967813426,8.61145124764278,84.21593962044551,MOD-PM-00097
3,87.91816695129135,9.541468882422869,8.53724647025039,85.4694736378403,8.455719520305765,84.72776516735325,MOD-PM-00097
4,88.42975978089046,9.392830476877569,8.37446921629924,86.25445960764684,8.31249807072782,85.48215407155939,MOD-PM-00097
5,88.79282623039218,9.20395602625477,8.239314579872335,86.88298777145444,8.192231043088482,85.96268365209586,MOD-PM-00097
6,88.43274293273072,9.39405033616302,8.156145643913883,87.20452025841023,8.13493142548192,86.01165538363986,MOD-PM-00097
7,87.41169144376654,9.492357213649884,8.263503268304,86.80134960335333,8.35150690188353,84.90471645515997,MOD-PM-00097
8,85.21045965902118,9.964080741801775,8.688219443134878,85.09085343167243,8.917252171541996,82.59736224792013,MOD-PM-00097
9,81.6880421835098,10.87297640169786,9.37490938267032,81.98506518981466,9.699501359143019,79.21292666000424,MOD-PM-00097
10,78.16260956742623,11.774552229724993,10.258923526924688,78.19838345553227,10.618051872399574,75.19262594464182,MOD-PM-00097
11,77.02240770151535,12.168228026840863,11.253718292119402,74.20755096961712,11.657687366237129,71.10334716446098,MOD-PM-00097
12,76.28395128620554,12.516158790086925,12.20515225582196,70.97194320123315,12.591826164859464,67.99764720142116,MOD-PM-00097
13,74.28860428154638,12.613862214684914,12.88251030582121,68.50201410169346,13.19383456058429,65.92316492307232,MOD-PM-00097
14,72.19873154392478,13.251445632225286,13.297053486908077,66.9236380405353,13.513569272797683,64.75394072843237,MOD-PM-00097
15,71.55412134321116,13.348965806054409,13.458843888907596,66.22823210968369,13.581187456503681,64.60399972616028,MOD-PM-00097
16,73.1580083600584,12.735053874504278,13.327853031085368,66.63167873835656,13.349756233536878,65.62674268817537,MOD-PM-00097
17,74.30575737480413,12.497825808795627,12.91808801409842,67.56001058848882,12.824649971563698,67.38187698568878,MOD-PM-00097
18,75.68792184676333,12.250622156821093,12.328773001601412,69.16856260043907,12.124987547425018,69.61726247853247,MOD-PM-00097
19,77.45741686765884,11.794504781317316,11.683691441327676,71.53557669979402,11.402091716897898,72.49758734282862,MOD-PM-00097
20,78.8287610043528,11.699115132385488,11.065116677704442,74.23995579978973,10.742679464405981,75.31700726213127,MOD-PM-00097
21,80.70334026481596,11.28116803455692,10.44907358688413,76.19803457150515,10.12323138357579,77.3270227863414,MOD-PM-00097
22,82.56675871955984,10.855069104271005,9.930152103818696,78.32959282535246,9.639729993096713,79.16772314049732,MOD-PM-00097
23,84.09368902525875,10.75985082704686,9.523384766560405,80.44633928203947,9.281809898171845,80.85941558779427,MOD-PM-00097
0,84.95054445587765,11.804566040901667,9.600940897378576,79.6319045836667,9.314381280002824,81.19028623649874,MOD-PM-00342
1,86.06377517135185,11.433976086907089,9.294401458372553,81.17596974200514,9.061337978868599,82.17920577267566,MOD-PM-00342
2,87.09425583599098,11.235039145298687,9.028800137071725,82.66953237142907,8.841065703242657,83.24717499146979,MOD-PM-00342
3,88.08322908609225,11.04365691817273,8.810333693171122,83.60311548623694,8.657764260165663,83.90712323476033,MOD-PM-00342
4,88.828527743492,10.794067662292878,8.62570513989552,84.59539929125683,8.5038233745529,84.62516383894955,MOD-PM-00342
5,89.45526321336635,10.619256961839875,8.461870455454632,85.43222814353116,8.35968642636954,85.28358479695147,MOD-PM-00342
6,90.32896921172593,10.656725680403515,8.389876179522778,85.87743395150426,8.330959972703313,85.39632480115776,MOD-PM-00342
7,90.41234923207783,10.746388150593697,8.616957331278238,85.09894750204431,8.728520110716303,83.42533537163791,MOD-PM-00342
8,89.48057335846956,10.630276056416289,9.23395422510354,82.71931513590985,9.490070241905121,80.53135180186077,MOD-PM-00342
9,86.57196930152988,11.267506528774222,10.0630810105657,78.91578594345644,10.37434810040945,76.75564126623682,MOD-PM-00342
10,81.10616232823872,12.776363928682741,11.0058985698654,75.02712047530945,11.32140723538686,73.11743767060429,MOD-PM-00342
11,77.39772166954582,13.598444700151985,11.990201577795558,71.10294228059699,12.32204928110881,69.30567683024579,MOD-PM-00342
12,75.58071421372624,14.080309297314688,12.843527793884277,68.19563239354353,13.160650913531963,66.6551847091088,MOD-PM-00342
13,72.35898648024404,14.862718475378813,13.462687198932354,65.88680130701799,13.725551531865047,64.6645947786478,MOD-PM-00342
14,69.337665407929,15.716514492507176,13.854549701397236,64.03055444130531,14.046989220839281,63.1323260985888,MOD-PM-00342
15,68.00632966805222,15.982793608476154,13.987619913541353,63.18414512964395,14.096698100750263,62.74156222893642,MOD-PM-00342
16,69.4660747925834,15.50496609357538,13.898472492511456,63.683361392754776,13.903961181640625,63.87189984321594,MOD-PM-00342
17,70.86780142479385,15.162348026378128,13.55519126011775,64.70984311287219,13.435377414409931,65.6697400349837,MOD-PM-00342
18,72.18764848025234,14.855806263931767,13.01661205291748,66.27004563808441,12.773510492764986,67.91844136898334,MOD-PM-00342
19,74.06466600171458,14.396755839804083,12.38561197427603,68.83260444494394,12.037399952228252,71.15899188701923,MOD-PM-00342
20,76.5574262607973,13.831893664332494,11.748018118051382,71.3537345299354,11.322356737576998,74.00991219740648,MOD-PM-00342
21,79.39726372356307,13.182146945959808,11.040082081254706,73.43961302975575,10.584039086031627,76.41469221000212,MOD-PM-00342
22,81.84992947552762,12.571700306738546,10.441167698136296,75.38548170342503,10.024731518848833,78.14421521841761,MOD-PM-00342
23,83.68066656069715,12.228636040736184,9.976241440370858,77.61078360683946,9.624983013107116,79.79185751489847,MOD-PM-00342
0,82.66330975696025,10.438698795065825,9.005930024433912,79.86678516574023,9.44516090455094,75.78833629639168,MOD-PM-00343
1,83.60655579406952,9.968651788232464,8.713621124019468,81.34532395029456,9.218943774215575,76.71463822155464,MOD-PM-00343
2,84.63642237954114,9.834207171861785,8.461214515251841,82.72070003912701,9.018303227618459,77.73889851763965,MOD-PM-00343
3,85.46113678091108,9.698651229537248,8.247393786422606,83.59256661422853,8.838779232366297,78.41189467422362,MOD-PM-00343
4,86.13259203578467,9.38511284000251,8.071166930159903,84.50752031124705,8.688065071416094,79.18654991553082,MOD-PM-00343
5,86.71352631883832,9.151621760955146,7.919476330764895,85.35607460456166,8.558022723934515,79.78253563051301,MOD-PM-00343
6,87.06937857953275,9.231415469658723,7.844252237459508,85.80276642000773,8.524874989579363,79.85961668278144,MOD-PM-00343
7,87.33937868946406,9.155832792015781,8.026102577767722,85.20245492361425,8.781037493449885,78.79632287684495,MOD-PM-00343
8,86.69879695486131,9.304666998751413,8.575189792043794,83.08845819302691,9.372017961207444,77.02436392094062,MOD-PM-00343
9,84.05519793097677,10.085629932596596,9.356675124749906,79.4241985925814,10.115559771778138,73.9284339144947,MOD-PM-00343
10,79.52713862996247,11.185690343210561,10.298396174370879,75.54097373296958,10.996466398722744,70.72920013489636,MOD-PM-00343
11,76.37012120375095,11.995350575930976,11.30965796542216,71.53443717569657,11.955645454824575,67.45640917578768,MOD-PM-00343
12,73.38618880546544,12.830295027668612,12.19845921514484,68.58179834454829,12.769878395188895,65.1009686143113,MOD-PM-00343
13,69.81181772435139,13.552246707697078,12.844828948046082,66.14339594038215,13.31605836198973,63.20398259501428,MOD-PM-00343
14,66.5390512909981,14.479676412242872,13.245049466951382,64.32093124699158,13.628058752713773,61.79703154960462,MOD-PM-00343
15,66.00547373161947,14.57882211998655,13.391941650885839,63.654098054216554,13.694555379314307,61.53410065440087,MOD-PM-00343
16,67.77522319179415,13.989017150350747,13.30921871038286,64.08398992294714,13.535526794062182,62.325719759865656,MOD-PM-00343
17,69.14478126253002,13.67584914410651,12.96135118960367,65.17743301391602,13.11120029782185,63.774432919330096,MOD-PM-00343
18,70.81085432903386,13.290257145297119,12.402379157818839,66.61590793601881,12.490845407482093,65.44649937380159,MOD-PM-00343
19,73.68493815522059,12.481671288107322,11.736137096103258,68.99756028057354,11.802817137681446,67.88203407736385,MOD-PM-00343
20,75.94591807897154,12.027022561606735,11.094860022740239,71.58971104031886,11.190781599126046,70.20529262240953,MOD-PM-00343
21,77.98288910067289,11.559604489844569,10.403716730877635,73.70082936635832,10.573283745990537,71.6868498732404,MOD-PM-00343
22,79.89873109453096,11.09883981941279,9.819386614047415,75.55672064060118,10.082187497518897,72.83602469529563,MOD-PM-00343
