time,TSA
2022-06-01 01:00:00,8.068977895535738
2022-06-01 02:00:00,8.194888381806322
2022-06-01 03:00:00,7.8371268176391595
2022-06-01 04:00:00,7.692886954696064
2022-06-01 05:00:00,7.333958954225409
2022-06-01 06:00:00,8.80276193175132
2022-06-01 07:00:00,11.290787385489864
2022-06-01 08:00:00,12.788761361559978
2022-06-01 09:00:00,14.31738589897509
2022-06-01 10:00:00,15.696198679696465
2022-06-01 11:00:00,16.650926060497966
2022-06-01 12:00:00,17.527927457402086
2022-06-01 13:00:00,17.764028234744785
2022-06-01 14:00:00,17.811109297083192
2022-06-01 15:00:00,17.544358675090166
2022-06-01 16:00:00,16.47519744747001
2022-06-01 17:00:00,15.63956206583947
2022-06-01 18:00:00,15.015666459298757
2022-06-01 19:00:00,14.108333501118238
2022-06-01 20:00:00,12.489637474351127
2022-06-01 21:00:00,11.217679855986773
2022-06-01 22:00:00,10.343817761237403
2022-06-01 23:00:00,9.587096674793031
2022-06-02 00:00:00,8.734207458533263
2022-06-02 01:00:00,8.010564085007104
2022-06-02 02:00:00,7.231085534152612
2022-06-02 03:00:00,6.584603758277467
2022-06-02 04:00:00,5.991631460692588
2022-06-02 05:00:00,5.657960078272765
2022-06-02 06:00:00,8.104722608912994
2022-06-02 07:00:00,11.656739905589177
2022-06-02 08:00:00,14.588694197047062
2022-06-02 09:00:00,16.56582906568002
2022-06-02 10:00:00,17.609226537756342
2022-06-02 11:00:00,18.19967247582059
2022-06-02 12:00:00,19.07330113881386
2022-06-02 13:00:00,19.831415507276745
2022-06-02 14:00:00,20.128962718032028
2022-06-02 15:00:00,19.96850234680801
2022-06-02 16:00:00,19.79555426520602
2022-06-02 17:00:00,19.106183744617624
2022-06-02 18:00:00,18.180903850735604
2022-06-02 19:00:00,17.16502224508116
2022-06-02 20:00:00,15.05130447251048
2022-06-02 21:00:00,13.856343752274768
2022-06-02 22:00:00,13.015130588647253
2022-06-02 23:00:00,12.363612998126541
2022-06-03 00:00:00,11.881577516648576
2022-06-03 01:00:00,11.6460464427268
2022-06-03 02:00:00,11.575405880877895
2022-06-03 03:00:00,11.40009773653236
2022-06-03 04:00:00,11.281056814678777
2022-06-03 05:00:00,11.109621016369374
2022-06-03 06:00:00,11.278532135462115
2022-06-03 07:00:00,12.58699571817533
2022-06-03 08:00:00,13.91530054034098
2022-06-03 09:00:00,14.825884861722272
2022-06-03 10:00:00,16.615365817571558
2022-06-03 11:00:00,18.26428338405242
2022-06-03 12:00:00,19.286204487325904
2022-06-03 13:00:00,20.296910394048552
2022-06-03 14:00:00,19.29657620767739
2022-06-03 15:00:00,18.25580083662527
2022-06-03 16:00:00,18.257647366868525
2022-06-03 17:00:00,18.39081270875414
2022-06-03 18:00:00,17.940322302371158
2022-06-03 19:00:00,16.85551884019054
2022-06-03 20:00:00,14.909602235769455
2022-06-03 21:00:00,13.234486563607447
2022-06-03 22:00:00,11.925075516496122
2022-06-03 23:00:00,11.016723327611146
2022-06-04 00:00:00,10.509833243788876
2022-06-04 01:00:00,10.109266049263454
2022-06-04 02:00:00,9.88483976672569
2022-06-04 03:00:00,9.972078528145119
2022-06-04 04:00:00,9.92925624555005
2022-06-04 05:00:00,9.985388354618465
2022-06-04 06:00:00,10.841919824960087
2022-06-04 07:00:00,11.876633926018997
2022-06-04 08:00:00,12.905483360221524
2022-06-04 09:00:00,14.465915448023509
2022-06-04 10:00:00,15.91128198396541
2022-06-04 11:00:00,17.03474385969696
2022-06-04 12:00:00,17.848669629463302
2022-06-04 13:00:00,18.15539099396517
2022-06-04 14:00:00,18.10754598325377
2022-06-04 15:00:00,17.920142858746374
2022-06-04 16:00:00,17.83056110065712
2022-06-04 17:00:00,16.551585622248183
2022-06-04 18:00:00,15.577424729038455
2022-06-04 19:00:00,13.953747904794795
2022-06-04 20:00:00,12.081803075417724
2022-06-04 21:00:00,11.019533600397153
2022-06-04 22:00:00,10.282118589992649
2022-06-04 23:00:00,9.850729035446193
2022-06-05 00:00:00,9.523829403403454
2022-06-05 01:00:00,9.304673753522309
2022-06-05 02:00:00,9.290402721627572
2022-06-05 03:00:00,9.298252700241846
2022-06-05 04:00:00,9.1505006675701
2022-06-05 05:00:00,9.116116378601816
2022-06-05 06:00:00,9.318113582847843
2022-06-05 07:00:00,9.801901506122192
2022-06-05 08:00:00,10.56031480758054
2022-06-05 09:00:00,11.91290434670259
2022-06-05 10:00:00,12.77364626515265
2022-06-05 11:00:00,12.79919627679709
2022-06-05 12:00:00,12.533807789002822
2022-06-05 13:00:00,12.084938797906773
2022-06-05 14:00:00,12.102514779802164
2022-06-05 15:00:00,12.14941186711161
2022-06-05 16:00:00,12.041337533001183
2022-06-05 17:00:00,11.948417807533815
2022-06-05 18:00:00,11.735799997129675
2022-06-05 19:00:00,11.196816963119716
2022-06-05 20:00:00,10.366369727899723
2022-06-05 21:00:00,10.097108091755672
2022-06-05 22:00:00,9.869607655984169
2022-06-05 23:00:00,9.767358653113376
2022-06-06 00:00:00,9.665131020363845
2022-06-06 01:00:00,9.65847270159503
2022-06-06 02:00:00,9.614117447246372
2022-06-06 03:00:00,9.54030269112269
2022-06-06 04:00:00,9.47578693479744
2022-06-06 05:00:00,9.505492769400064
2022-06-06 06:00:00,9.791953147990682
2022-06-06 07:00:00,10.138079811343346
2022-06-06 08:00:00,10.996930257269128
2022-06-06 09:00:00,11.26210806404714
2022-06-06 10:00:00,12.476497545546806
2022-06-06 11:00:00,12.977119930917922
2022-06-06 12:00:00,13.995369423558941
2022-06-06 13:00:00,15.007449179281366
