time,HIA,SWBGT,HUMIDEX
2022-06-01 01:00:00,8.068977871722183,12.498986640010632,8.145138716487578
2022-06-01 02:00:00,8.194888204642588,12.698318774185958,8.451909901385054
2022-06-01 03:00:00,7.837126498554363,12.432989281769038,8.005826729326722
2022-06-01 04:00:00,7.6928874108011795,12.32812281907564,7.828957034988006
2022-06-01 05:00:00,7.3339591170981855,12.046007938721763,7.358914032343068
2022-06-01 06:00:00,8.802762010834362,13.232762222046691,9.328060533857284
2022-06-01 07:00:00,11.290787527245424,15.061758285501503,12.407386010019087
2022-06-01 08:00:00,12.788761561640138,15.737265417532281,13.659609232206714
2022-06-01 09:00:00,14.317385943115793,16.39891432238556,14.898325303244803
2022-06-01 10:00:00,15.696198809428441,16.991833341857184,16.0101493665248
2022-06-01 11:00:00,16.650925670397836,17.578806806083822,17.02939890921141
2022-06-01 12:00:00,17.52792711794811,18.52394399185772,18.539532033507374
2022-06-01 13:00:00,17.7640281455628,18.48016599399162,18.524505991674314
2022-06-01 14:00:00,17.81110971125541,18.178483921066558,18.107384393771103
2022-06-01 15:00:00,17.5443590670546,17.914745689827328,17.68161390911487
2022-06-01 16:00:00,16.475197437836215,17.31987410257363,16.62848716622042
2022-06-01 17:00:00,15.639562016086277,16.799929298934728,15.72762768285577
2022-06-01 18:00:00,15.015666554898093,16.546326931594415,15.245301828344603
2022-06-01 19:00:00,14.108333378212018,16.261175348841107,14.662122371326886
2022-06-01 20:00:00,12.489637212587288,15.548387978967726,13.333238671665372
2022-06-01 21:00:00,11.217679636866594,14.605517992475496,11.747922260887202
2022-06-01 22:00:00,10.343818046561678,14.025788679474623,10.754962863763277
2022-06-01 23:00:00,9.587096984943274,13.590105505055256,9.988880283039236
2022-06-02 00:00:00,8.734207466519504,13.031271450312534,9.029621395409176
2022-06-02 01:00:00,8.010564115463174,12.44526984642956,8.057609629051155
2022-06-02 02:00:00,7.231085820455102,11.791982925942131,6.979399737180235
2022-06-02 03:00:00,6.584603894507655,11.220071262329094,6.042620367700812
2022-06-02 04:00:00,5.991631557687183,10.69139616957714,5.177581606272531
2022-06-02 05:00:00,5.657960077272558,10.404527450858167,4.705831286486197
2022-06-02 06:00:00,8.104722572246168,12.127402528544337,7.626951596663022
2022-06-02 07:00:00,11.656740029142439,14.443723050522442,11.606346296385714
2022-06-02 08:00:00,14.588694126495128,16.337662625799183,14.865585664102637
2022-06-02 09:00:00,16.565829119496453,17.43617479034804,16.810880943120537
2022-06-02 10:00:00,17.609226234252375,17.757553118325152,17.472276632891543
2022-06-02 11:00:00,18.19967243191655,17.788765653722567,17.63358729863147
2022-06-02 12:00:00,19.290484641170906,18.126835972766912,18.28488475266671
2022-06-02 13:00:00,21.86810014387783,19.182971224664957,19.928331790842865
2022-06-02 14:00:00,23.0912412417914,19.94452070374079,21.063934252393505
2022-06-02 15:00:00,22.470662667791267,19.85011277188295,20.89862942993609
2022-06-02 16:00:00,21.8337601037846,19.791545261016992,20.781511280735167
2022-06-02 17:00:00,19.168118730871083,19.39899129858424,20.089764647654228
2022-06-02 18:00:00,18.18090370835484,18.260745471788386,18.29706578634062
2022-06-02 19:00:00,17.1650223191584,17.136739898568774,16.506515438555844
2022-06-02 20:00:00,15.051304566130582,16.508768449272175,15.199281324460944
2022-06-02 21:00:00,13.856343873058687,16.14233814725718,14.444117659340318
2022-06-02 22:00:00,13.015130036544742,15.960082874144497,14.019518122512967
2022-06-02 23:00:00,12.363612471250862,15.593082537708561,13.371407583070082
2022-06-03 00:00:00,11.881577491646091,15.228776194808,12.760743120501962
2022-06-03 01:00:00,11.646046207824746,15.180443262467458,12.645671693482821
2022-06-03 02:00:00,11.575406088409082,15.260942589748803,12.7454475703598
2022-06-03 03:00:00,11.400097823600213,15.178253773905853,12.593762387312431
2022-06-03 04:00:00,11.281057204582893,15.102615817038567,12.46321212032366
2022-06-03 05:00:00,11.109620782364146,14.919727059721758,12.170649996587148
2022-06-03 06:00:00,11.278532003649975,15.045893756552724,12.382527065178309
2022-06-03 07:00:00,12.586995734670458,15.783223042789174,13.68453100005869
2022-06-03 08:00:00,13.915300396282841,16.792504899678068,15.37491248396151
2022-06-03 09:00:00,14.825884764211416,17.39018305977855,16.400533310159986
2022-06-03 10:00:00,16.61536588223514,17.86148330012197,17.421940435837268
2022-06-03 11:00:00,18.264283433690757,18.699567731245885,18.9339455879686
2022-06-03 12:00:00,19.844061816707583,19.757786134648047,20.632696136315527
2022-06-03 13:00:00,23.26865325852643,20.205973672093467,21.466864397126535
2022-06-03 14:00:00,19.634780455816408,19.890058893767627,20.821738988299067
2022-06-03 15:00:00,18.2558012222847,19.009745314715904,19.370737647261684
2022-06-03 16:00:00,18.25764714536869,18.88031930706596,19.188143865821765
2022-06-03 17:00:00,18.390812102692728,18.459123044363622,18.61915895200899
2022-06-03 18:00:00,17.940322293117777,17.690414823229467,17.44308182208658
2022-06-03 19:00:00,16.85551863560097,17.139160441391525,16.448508974157118
2022-06-03 20:00:00,14.90960240414166,15.967406085270873,14.405872546868624
2022-06-03 21:00:00,13.234486526585622,14.964845346953094,12.656159544803497
2022-06-03 22:00:00,11.92507583623529,14.177623903268703,11.283438729355248
2022-06-03 23:00:00,11.01672361657568,13.75459393197554,10.505148337675235
2022-06-04 00:00:00,10.509833612381104,13.615240265514426,10.207550044050254
2022-06-04 01:00:00,10.109265973335896,13.306376260792915,9.69142946891172
2022-06-04 02:00:00,9.884839804348175,13.092123549986072,9.344013365910238
2022-06-04 03:00:00,9.972078236511669,13.162877340183499,9.461347355555795
