Year,PBOT,RH,Member,TBOT,WIND,RAIN
2012.0,1014.391742,74.29427133333334,01,12.274398367966574,8.565724942350277,3.239475901308861e-05
2013.0,1015.1322866759775,78.91943094972066,01,11.86593974385475,9.184794924511172,2.311682883883516e-05
2014.0,1013.5306409776537,77.45565653631284,01,11.939805225698324,9.596925064414572,2.42862587717001e-05
2015.0,1015.1834363407821,78.05566949720671,01,11.88690443575419,9.452674719445996,2.5307273198075863e-05
2016.0,1016.9936734261839,78.09007226462396,01,12.136195055153204,9.483610334993617,1.6335110913830616e-05
2017.0,1012.2622336033519,78.89714983240223,01,11.852465643575417,9.364890970051212,3.4814991439722064e-05
2018.0,1015.19758,79.56145265083798,01,12.558724909217876,8.679614266287244,2.4428494638606378e-05
2019.0,1016.4142208938547,79.47034309497207,01,12.979922031005588,8.716319742979517,2.031351202568378e-05
2020.0,1016.241765793872,79.88324764345404,01,12.471403484679666,10.981677501096797,1.895559672830147e-05
2021.0,1013.6865448603352,78.20727120949721,01,12.497235579329608,9.242464597317971,2.0882619022790642e-05
2022.0,1015.48017075419,79.45415059497206,01,12.580874888268156,8.9505289972777,1.6355533240935764e-05
2023.0,1015.3982881843576,77.93736913687151,01,13.066956152234637,9.289238693637104,2.0218132045346352e-05
2012.0,1016.6162918105849,79.18182012534818,04,12.373528992200557,9.162292750068477,2.895501825616717e-05
2013.0,1016.3600605307263,77.7314072122905,04,11.917812772625698,8.600407537495345,2.4403848028092782e-05
2014.0,1015.1333565363129,79.05850653351956,04,12.28761626396648,8.451045417541899,3.753593745522775e-05
2015.0,1013.0648139664804,79.34091324301676,04,12.273927339664805,9.092666514356377,3.6221343492817487e-05
2016.0,1010.6486558774372,77.99497298050139,04,12.588042211420614,9.659874188855618,3.3696792342308366e-05
2017.0,1015.097785782123,78.9859026424581,04,11.977119181564246,9.040767319778864,2.573188686452771e-05
2018.0,1012.8577657541899,78.54482375698323,04,11.875434633240223,9.020701407925976,3.1789233087649344e-05
2019.0,1013.9243183519553,80.01379201396648,04,11.64726063659218,9.364780279514665,2.924529220209664e-05
2020.0,1013.375229442897,78.06939869916434,04,12.337268266295265,11.476058345220519,7.774112860393e-05
2021.0,1017.3060096648045,79.75809631284916,04,12.74189789972067,9.083611888204725,3.517969235090101e-05
2022.0,1013.3327329888268,79.0274746396648,04,12.045312855865921,9.465401098561452,2.9416899041148058e-05
2023.0,1016.9764470391061,79.41078894692737,04,12.438682062011173,8.885711143348464,2.4705408745842286e-05
2012.0,1016.6099808356546,79.09072517548746,05,12.115124818941505,9.455719270819404,2.3670263025763325e-05
2013.0,1016.3719375418993,78.88626046927374,05,11.873120103351956,9.360933298337988,3.1619528699103035e-05
