cumulative_explained_variance,explained_variance
0.304913855954801,0.304913855954801
0.5059232377623788,0.20100938180757782
0.6470803902329365,0.14115715247055768
0.7253147665500167,0.07823437631708015
0.7813567441632285,0.05604197761321182
0.8324237655429655,0.051067021379736975
0.879075610935724,0.04665184539275843
0.9196084218920807,0.04053281095635673
0.9402705009719916,0.020662079079910897
0.9589212574342604,0.01865075646226879
0.973995956404747,0.0150746989704866
0.9855720793057827,0.01157612290103572
0.9930444272786739,0.007472347972891178
1.0000000000000002,0.006955572721326247
