sn,start_time,end_time,lat,lon,TB notes,Still active,data_start_time,data_end_time,analyse_start_time,analyse_end_time
MOD-PM-00457,2021-12-11 19:40:00,2024-06-07 20:42:00,53.468781,-2.215723,,No,2021-12-13 18:02:00,2024-06-07 20:44:00,2022-04-25 09:32:31,2024-06-07 20:43:33
MOD-PM-00458,2021-12-11 19:41:00,2024-06-07 20:45:00,53.480822,-2.247967,,No,2021-12-13 18:13:00,2024-06-07 20:45:00,2022-04-25 13:37:11,2024-06-07 20:45:22
MOD-PM-00459,2021-12-11 19:43:00,2024-06-07 20:41:00,53.444258,-2.214418,Manchester Supersite installed from 18th of July 2022 (to be used for calibration),No,2021-12-13 18:01:00,2024-06-07 20:41:00,2022-07-18 15:00:00,2024-06-07 20:40:39
MOD-PM-00460,2021-12-11 19:45:00,2024-06-07 20:38:00,53.47878,-2.10927,,No,2021-12-13 18:15:00,2024-06-07 20:41:00,2022-04-25 10:34:31,2024-06-07 20:40:39
MOD-PM-00461,2021-12-11 19:47:00,2024-06-07 20:43:00,53.444258,-2.214418,Manchester Supersite installed from 18th of July 2022 (to be used for calibration),No,2021-12-13 18:03:00,2024-06-07 20:43:00,2022-07-18 15:00:00,2024-06-07 20:43:27
MOD-PM-00464,2021-12-11 19:51:00,2024-09-22 09:28:00,53.479079,-2.232425,,Yes,2021-12-13 18:20:00,2024-09-13 16:19:00,2022-01-31 16:20:24,2024-08-31 23:59:59
MOD-00273,2023-01-10 23:43:00,2024-09-22 09:32:00,53.487239,-2.231864,Thompson Street,Yes,2023-01-31 20:16:00,2024-09-13 16:18:00,2023-04-04 01:00:00,2024-08-31 23:59:59
MOD-00274,2023-01-10 23:49:00,2024-09-22 09:34:00,53.447508,-2.185023,Manor Road,Yes,2023-01-31 20:22:00,2024-09-13 16:17:00,2023-05-15 20:00:20,2024-08-31 23:59:59
MOD-00275,2023-01-10 23:55:00,2024-09-22 09:30:00,53.442097,-2.184762,Broom Lane,Yes,2023-01-31 20:19:00,2024-09-13 16:17:00,2024-01-18 16:18:41,2024-08-31 23:59:59
MOD-00494,2023-08-22 17:31:00,2024-09-22 09:31:00,53.443277,-2.26167,Wilbraham Road,Yes,2023-10-03 08:31:00,2024-09-10 10:07:00,2024-01-18 16:40:47,2024-08-31 23:59:59
MOD-00495,2023-08-22 17:34:00,2024-09-22 09:30:00,53.44204,-2.213508,Mosley Road,Yes,2023-10-03 08:26:00,2024-09-13 16:19:00,2024-01-18 16:25:49,2024-08-31 23:59:59
