timestamp,rh_hourly_avg_corrected,temp_hourly_avg_corrected,TSA_def,RH2M_def,TSA_lcz,RH2M_lcz,sensor
0,87.77852800012414,5.345305638704236,4.53256539737477,85.1598279616412,4.531117158777573,84.25542595807244,MOD-PM-00097
1,88.23366105640164,4.986900194572101,4.454025044160731,85.47743830961339,4.469380771412569,84.43043599409215,MOD-PM-00097
2,88.60198010910338,5.036954008248637,4.3865064733168655,85.75037162444171,4.416570775649127,84.6466947443345,MOD-PM-00097
3,88.48414856496179,4.905045949457744,4.31513505823472,85.65593217400944,4.340424481560202,84.50951792212093,MOD-PM-00097
4,88.74489020910924,4.849694170964119,4.22464864394244,86.03688374687644,4.245536355411305,85.03271683524636,MOD-PM-00097
5,89.21487331116573,4.621298453741249,4.161514955408433,86.3361951603609,4.184917449951172,85.42158471836763,MOD-PM-00097
6,89.49110616444008,4.969452210612741,4.0906663782456345,86.56483451057883,4.108433891745174,85.68841617247638,MOD-PM-00097
7,89.67584354383106,4.517370702910034,4.0495818643008965,87.2046175844529,4.07414716832778,86.31914138793945,MOD-PM-00097
8,89.8613739047907,4.3098367855123945,4.058589935302734,87.65283040439381,4.0927364124971275,86.8520016670227,MOD-PM-00097
9,89.57811572284365,4.478373624159338,4.061252145206227,87.35038117801442,4.118063534007353,86.34370242848115,MOD-PM-00097
10,89.21665466714677,4.679751656598448,4.211725122788373,86.70633136524873,4.3577423095703125,85.013243338641,MOD-PM-00097
11,89.39313990802411,5.051916250280595,4.844536276424632,84.73397215674905,5.301425036262064,81.04702136095833,MOD-PM-00097
12,86.87855551122676,6.150930646003897,5.702387604890046,82.13180849993671,6.306171558521412,77.76268491391782,MOD-PM-00097
13,85.10884182062829,6.011889546507046,6.449315954137732,79.11792998137298,6.993883825231482,75.0652687072754,MOD-PM-00097
14,82.9770625183638,6.461493202912052,6.913076669198495,76.4839076006854,7.299309624565972,73.19731922856083,MOD-PM-00097
15,81.75323981506381,6.5798437314435585,7.093861219618056,75.65409622192382,7.320657687717014,73.4531314143428,MOD-PM-00097
16,82.20065059810013,5.836645419273909,6.9113154658564815,75.44985882794415,6.990945773654514,74.22845710471825,MOD-PM-00097
17,82.13780884487063,5.964651968304078,6.4184694643373845,75.8626222398546,6.340981038411458,75.86593740957754,MOD-PM-00097
18,82.88448945283665,6.077198305722076,5.860540545428241,77.11253955982349,5.670621744791666,77.81287536621093,MOD-PM-00097
19,84.04243130725384,5.675616088077679,5.40922693323206,78.89076597425672,5.182320149739583,79.88154474894206,MOD-PM-00097
20,84.99903872304503,5.873070429794154,5.184412073206018,80.99473317464192,5.005622016059028,81.2052323517976,MOD-PM-00097
21,85.76465831008052,5.621650812730783,4.971111608434606,82.15047491568106,4.854180682146991,81.82174575240523,MOD-PM-00097
22,86.78797730258557,5.473732002644118,4.809953251591435,83.4184162846318,4.739839680989584,82.78071862679941,MOD-PM-00097
23,87.46929098146917,6.226237785665327,4.682644540292245,84.30276607937283,4.649113859953704,83.48455335828993,MOD-PM-00097
0,90.08693634403988,3.7343334918329014,5.447887043376546,83.48026828975468,5.231240744119162,84.74363398289942,MOD-PM-00342
1,90.63938861492241,3.60773741064467,5.351238544170673,83.1828479557247,5.15168946653932,84.3059074485695,MOD-PM-00342
2,91.07400514725147,3.055150088375732,5.222257509336367,83.42988829560332,5.0325558840573485,84.36297481662625,MOD-PM-00342
3,92.6939110789431,3.1984348009433914,5.110658415071257,84.07338257674333,4.913619827438187,84.99513881809109,MOD-PM-00342
4,93.94046664459272,2.809476017075308,5.0218492445054945,84.6778911967854,4.840094597785027,85.39550596803099,MOD-PM-00342
5,94.54448862335465,2.422820705268622,4.920148241650927,85.19894652314238,4.7399278577867445,85.97280762221787,MOD-PM-00342
6,94.37094124223401,1.6435665925450227,4.838989928528503,85.44990539550781,4.66740233033568,86.28206634521484,MOD-PM-00342
7,95.31602127093825,1.2391850352561433,4.7752011477292235,85.97498246077653,4.632746099115728,86.68508294912485,MOD-PM-00342
8,95.8922813269143,3.5850165897171933,4.8270022214114015,86.2123666700426,4.709080287388393,86.9129258459741,MOD-PM-00342
9,95.25012747010535,4.777215458268491,4.866796137212397,86.11015814477271,4.7685100848858175,86.85199033297025,MOD-PM-00342
10,93.15373632634305,5.146855832695839,5.072901463770604,85.40682736071912,5.039511209005838,85.68554452749399,MOD-PM-00342
11,90.12260167433661,5.739570790722841,5.655550778567136,83.75785546774392,5.845797360598386,82.42569313468513,MOD-PM-00342
12,85.20184721532894,6.986404099044697,6.395357236757383,80.71025550758446,6.67762940794557,79.27151241931287,MOD-PM-00342
13,81.49694552245874,7.34946943765465,7.0374437269273695,77.95037527398749,7.3002000745836195,76.73027520651345,MOD-PM-00342
14,79.91618760581969,7.785911117458773,7.4602241935310785,75.38916799524328,7.616933298634959,74.65270379873422,MOD-PM-00342
15,78.79820176498652,7.881515352776061,7.590352488088084,74.59707771552787,7.6156475360576925,74.90669053465456,MOD-PM-00342
16,82.08525786558727,6.802875761594613,7.455411470853365,74.85897734924987,7.3313739483173075,76.19131796700614,MOD-PM-00342
17,83.68975426874621,6.419421850186499,7.051253769423935,75.23270697122092,6.7603035392342035,77.82320705874936,MOD-PM-00342
18,84.53754432448633,6.023885042741271,6.572154621501546,77.04793385096959,6.163500439989698,80.36670948908879,MOD-PM-00342
19,86.14598381459217,5.493103427098262,6.199965592269059,78.9327499473488,5.7729046161358175,82.19989751459478,MOD-PM-00342
20,86.9288831628813,5.1395102721374,6.071993985018888,80.78450251149607,5.708722460400927,83.23724583217076,MOD-PM-00342
21,87.32721694614939,4.775865387548244,5.914241245814732,81.66829823923635,5.620634309538118,83.55534044202868,MOD-PM-00342
22,88.39556205979976,4.547747988907248,5.751929314581902,82.33373461712847,5.496310391268888,83.91454113970747,MOD-PM-00342
23,89.53618184239546,4.517280686015964,5.627749264895261,82.91787459824111,5.390927492917239,84.3100704570393,MOD-PM-00342
0,86.07626794162395,6.612852650781166,5.530794563940016,83.10993543721862,6.109047065346928,78.2801835981466,MOD-PM-00343
1,86.33402941747252,6.200369936560786,5.429085165767346,83.21991293309098,6.038901636155985,78.17342897188865,MOD-PM-00343
2,86.71459531697555,5.98851159633296,5.311637749106197,83.47375181165792,5.945404311357918,78.4305936522403,MOD-PM-00343
3,87.03300935007607,6.244230212820785,5.195156032756223,83.95025288856635,5.833055399231991,78.82927060531358,MOD-PM-00343
4,87.39718756616446,5.684305641253221,5.0947832010560115,84.42902897980254,5.741467750678628,79.24690327401889,MOD-PM-00343
5,87.92601437206847,5.610351408569508,4.991209644382283,85.03950251563121,5.646368770276085,79.92740440368652,MOD-PM-00343
6,88.48191958633997,5.851669752822882,4.90869063037937,85.47512613716772,5.579002251059322,80.43629497592732,MOD-PM-00343
7,88.91034134555451,5.523714532029666,4.85134551484706,86.12961533110021,5.540729587360964,81.10603167647022,MOD-PM-00343
