timestamp,rh_hourly_avg_corrected,temp_hourly_avg_corrected,TSA_def,RH2M_def,TSA_lcz,RH2M_lcz,sensor
0,79.66563807237368,15.963209497844217,14.528311048235212,76.8741798060281,14.165149688720703,77.42916216169085,MOD-PM-00097
1,81.67897284992047,15.50497235133868,14.035178048270089,79.92690546172005,13.74586296081543,79.63079575129917,MOD-PM-00097
2,83.55167986068832,15.100822952995104,13.622517449515206,82.06582832336426,13.387533732822963,81.54332654816764,MOD-PM-00097
3,84.82540668006826,14.812963058172725,13.303662981305804,83.28064843586513,13.131255558558873,82.33135669572013,MOD-PM-00097
4,85.56311027955363,14.563025100207529,13.018481663295201,84.70687685694013,12.883437020438057,83.45192841121128,MOD-PM-00097
5,86.00576059092337,14.41895460446031,12.775025776454381,85.9143088885716,12.674380438668388,84.31236917631966,MOD-PM-00097
6,84.94123550960367,14.659551263079267,12.717883791242327,86.43096797806876,12.712490899222237,84.04951071739197,MOD-PM-00097
7,82.53403707733834,15.279796242556882,13.19682502746582,84.53078263146537,13.478450230189733,80.77295357840401,MOD-PM-00097
8,78.55793228952402,16.33340391314115,14.323511941092354,79.77943164961678,14.90003776550293,74.94724764142718,MOD-PM-00097
9,73.36426907743078,17.648014021519653,15.711570467267718,73.78366800716945,16.25388663155692,69.84874163355146,MOD-PM-00097
10,67.08484200898917,19.07064525697756,17.000550406319753,67.70427189554486,17.387042454310826,64.89762731960842,MOD-PM-00097
11,64.73811765467698,19.633548856850137,18.10172734941755,63.53258384977068,18.39560263497489,61.27193948200771,MOD-PM-00097
12,65.54192035449026,19.381828732174426,19.11788427302268,60.30302354930777,19.38275578591676,57.895406267284294,MOD-PM-00097
13,63.820959137738626,19.777792730364425,19.75633091209209,58.44256328481489,19.977204449408877,56.3466960603157,MOD-PM-00097
14,61.48337427287306,20.31696034197406,20.161449871232023,57.76290140742749,20.33184004251936,55.83284155246431,MOD-PM-00097
15,60.87214355463837,20.430041951512873,20.36930428564021,56.99976048427345,20.488095173793557,55.19483059908436,MOD-PM-00097
16,63.68629759849852,19.593102809339047,20.342810166620577,57.37216925832023,20.396324765365737,55.88945213250354,MOD-PM-00097
17,65.29560826164543,19.18142316202792,20.040312640434873,57.61471564368864,20.01721353446488,56.505977866923914,MOD-PM-00097
18,67.12778372198197,18.789545688522015,19.50881282840155,58.61371575414607,19.399373822507606,57.92583131368181,MOD-PM-00097
19,69.00232128127878,18.421795942276734,18.807218568514934,61.42131211272383,18.614895710902932,61.203510723282804,MOD-PM-00097
20,69.9678191894161,18.261158004194623,17.86678428987486,64.43958758463901,17.549281567598864,65.16956501513455,MOD-PM-00097
21,72.70437851194914,17.671172767926134,16.791757229155145,67.58628048517008,16.341402577087944,69.4778689831759,MOD-PM-00097
22,75.72397197758653,16.9948656060137,15.863798968559873,70.86769914205095,15.397831469510509,72.7650947233217,MOD-PM-00097
23,78.01825431669467,16.450699554095834,15.133183302077573,74.47728681986311,14.716699380790239,75.78846325494547,MOD-PM-00097
0,82.51629539478449,15.17494870583218,13.886355929904514,77.3465163490989,13.547012483230745,78.66477238048206,MOD-PM-00342
1,83.75224242190518,14.864226626735075,13.415871051826862,80.31086461230962,13.169420955157038,80.54934295500168,MOD-PM-00342
2,85.02615747248444,14.554692898662084,13.012043654316603,82.65755859529129,12.833437832919033,82.46649397262419,MOD-PM-00342
3,86.02096288797819,14.326328289835553,12.715170195608428,83.65529578623145,12.615195226187657,83.02230133673157,MOD-PM-00342
4,86.57421771598962,13.978835210988372,12.449433606080335,85.12704764472113,12.395525074968434,84.14685991075304,MOD-PM-00342
5,88.01484340727946,13.723486569655918,12.222585350576074,86.16517639160156,12.20622207179214,84.80520263826004,MOD-PM-00342
6,89.10266739097754,13.695875274937267,12.233026061395202,86.47542691471601,12.34223799272017,84.06315439397639,MOD-PM-00342
7,87.80689271900596,14.120592455345442,12.839608240609218,84.00334202159534,13.246347138375947,80.08031467476276,MOD-PM-00342
8,85.87182066139073,14.756125046735816,14.005212340692077,78.62349870469835,14.588611641315499,74.43883356421885,MOD-PM-00342
9,82.16895390624148,15.701434698609583,15.299428304036459,72.48779847886827,15.82761853150647,69.46787643432617,MOD-PM-00342
10,76.14248577665522,17.072453929308864,16.489674886067707,67.13907831365412,16.911659009528883,65.21460095800535,MOD-PM-00342
